appid,name,type,release_date,required_age,developers,publishers,genres,price,metacritic_score,recommendations,achievements,year,owners_estimate,players_forever,average_playtime,median_playtime,tags,positive_reviews,negative_reviews,release_date_parsed
25800,Europa Universalis III Complete,game,"4 Feb, 2009",0,Paradox Development Studio,Paradox Interactive,Strategy,17.0,83.0,1364.0,0,2009,"200,000 .. 500,000",,2381,164,"Grand Strategy, Strategy, Historical, Political Sim, Real-Time with Pause",1646,325,2009-02-04
689130,Operation: Polarity Hook,game,"19 Feb, 2019",0,Cronoforge Studios Inc.,Cronoforge Studios Inc.,"Action, Adventure, Indie",5.25,,,0,2019,"0 .. 20,000",,0,0,,0,0,2019-02-19
592350,Nvil,game,"24 Mar, 2017",0,Digitalfossils Ltd,Digitalfossils Ltd,Animation & Modeling,49.0,,,0,2017,"0 .. 20,000",,0,0,Animation & Modeling,40,7,2017-03-24
968350,Hotel Sowls,game,"31 Dec, 2019",0,Studio Sott,Studio Sott,"Adventure, Indie",5.25,,486.0,0,2019,"20,000 .. 50,000",,0,0,"Indie, Adventure, Mystery, Point & Click, Puzzle",544,24,2019-12-31
1120410,Apollo 11 VR,game,"1 Aug, 2019",0,IDIA Lab,IDIA Lab,"Casual, Simulation",0.0,,,0,2019,"0 .. 20,000",,0,0,"Casual, Simulation, VR",13,6,2019-08-01
1087070,Poly Fishing,game,"19 Aug, 2019",0,Kai Zou,Kai Zou,"Casual, Indie",10.0,,,0,2019,"0 .. 20,000",,0,0,"Indie, Casual",0,1,2019-08-19
1014730,Cyndy,game,"16 May, 2019",0,DreamBig Games,DreamBig Games,Simulation,8.5,,207.0,0,2019,"0 .. 20,000",,52,68,"Nudity, Sexual Content, Simulation, Early Access",16,6,2019-05-16
317060,Attractio,game,"18 Jan, 2016",0,"GameCoder Studios, Render Farm Studios",,Action,0.0,,,0,2016,"20,000 .. 50,000",,7,7,"Action, Puzzle-Platformer, FPS, Indie, Female Protagonist",54,81,2016-01-18
245470,Democracy 3,game,"14 Oct, 2013",0,Positech Games,Positech Games,"Indie, Simulation, Strategy",22.0,70.0,6246.0,0,2013,"200,000 .. 500,000",,518,280,"Political Sim, Simulation, Politics, Strategy, Indie",5381,1862,2013-10-14
1002920,The Last Dinner,game,"10 Jan, 2019",0,西安乐趣软件科技有限公司,西安乐趣软件科技有限公司,Free To Play,0.0,,,0,2019,"0 .. 20,000",,0,0,"Free to Play, Gore, VR, Horror",21,18,2019-01-10
532170,WaveLand,game,"18 Apr, 2017",0,rologfos,rologfos,"Action, Adventure, Indie, Racing",5.25,,,0,2017,"0 .. 20,000",,21608,43168,"Action, Indie, Racing, Adventure, Platformer",63,10,2017-04-18
522240,Pool Panic,game,"19 Jul, 2018",0,Rekim,Rekim,"Action, Adventure, Sports",14.5,,138.0,0,2018,"20,000 .. 50,000",,191,129,"Sports, Action, Adventure, Funny, Puzzle",302,84,2018-07-19
445350,Atomic Space Command,game,"13 Oct, 2016",0,"No, You Shut Up Inc.","No, You Shut Up Inc.","Action, Simulation, Strategy, Early Access",15.0,,,0,2016,"0 .. 20,000",,0,0,"Strategy, Action, Early Access, Simulation, Co-op",7,11,2016-10-13
951010,Zero spring episode 1 English translation version,game,"24 Oct, 2018",0,Sonic-Alpha,NS,"Action, Adventure, Indie",1.1,,,0,2018,"0 .. 20,000",,0,0,"Indie, Gore, Action, Adventure, Violent",5,3,2018-10-24
410770,Roads of Rome,game,"16 Oct, 2015",0,Qumaron,Qumaron,"Adventure, Casual, Simulation, Strategy",4.5,,,0,2015,"0 .. 20,000",,0,0,"Casual, Strategy, Adventure, Simulation, Time Management",81,12,2015-10-16
330100,BossConstructor,game,"24 Oct, 2016",0,Neomateria Games GmbH,Neomateria Games GmbH,"Action, Indie, RPG, Simulation",15.0,,189.0,0,2016,"20,000 .. 50,000",,337,606,"Indie, Action, RPG, Simulation, Space",158,56,2016-10-24
674940,Stick Fight: The Game,game,"28 Sep, 2017",0,Landfall West,Landfall,"Action, Casual, Indie",2.69,,98768.0,0,2017,"2,000,000 .. 5,000,000",,400,187,"Multiplayer, Funny, Fighting, Local Multiplayer, Action",114720,7938,2017-09-28
446550,Infinite Minigolf,game,"25 Jul, 2017",0,Zen Studios,Zen Studios,"Casual, Indie, Sports",15.0,,107.0,0,2017,"20,000 .. 50,000",,0,0,"Mini Golf, Golf, Level Editor, VR, Indie",99,29,2017-07-25
434150,Dark Night,game,"11 Jan, 2016",0,NighthoodGames,NighthoodGames,"Adventure, Indie",2.15,,,0,2016,"0 .. 20,000",,0,0,"Indie, Adventure, Horror",23,39,2016-01-11
557400,Midas Gold Plus - Idle Clicker,game,"1 Feb, 2017",0,Holyday Studios,Holyday Studios,"Casual, Indie, RPG, Free To Play",0.0,,293.0,0,2017,"200,000 .. 500,000",,901,298,"Free to Play, Clicker, Indie, Casual, Singleplayer",1505,250,2017-02-01
590640,Professor Teaches® Excel 2016 – Mac,game,"28 Feb, 2017",0,Individual Software,Individual Software,Software Training,14.5,,,0,2017,"0 .. 20,000",,0,0,,0,0,2017-02-28
288100,MechRunner,game,"15 Jul, 2016",0,Spark Plug Games,Spark Plug Games,Action,7.5,,,0,2016,"0 .. 20,000",,0,0,"Action, Sci-fi, Mechs, Robots, Arcade",12,15,2016-07-15
1050190,Fast Travel: Loot Delivery Service,game,"20 Apr, 2019",0,Souper Chef,Souper Chef,Racing,0.0,,,0,2019,"0 .. 20,000",,0,0,"Racing, Time Attack",9,0,2019-04-20
463850,Muddy Heights® 2,game,"19 Apr, 2016",0,"Rageborn Studio, LLC","Rageborn Studio, LLC",Casual,3.25,,390.0,0,2016,"20,000 .. 50,000",,64,89,"Casual, Funny, Psychological Horror, Singleplayer, Sexual Content",338,65,2016-04-19
906600,Gunkid 99,game,"13 Mar, 2019",0,Yongjustyong,Yongjustyong,"Action, Indie",6.5,,,0,2019,"0 .. 20,000",,0,0,"Indie, Action, Platformer, Arcade, 2D",60,3,2019-03-13
496990,Ghost Sweeper,game,"22 Jul, 2016",0,7 Raven Studios,7 Raven Studios,"Action, Adventure, Casual, Indie",4.25,,,0,2016,"0 .. 20,000",,250,255,"Action, Adventure, Indie, Casual, Puzzle-Platformer",34,4,2016-07-22
1147490,Frontline: Western Front,game,"13 Sep, 2019",0,Frontline: Games Series,Frontline: Games Series,"Indie, Simulation, Strategy",6.5,,,0,2019,"20,000 .. 50,000",,0,0,"Strategy, Simulation, Indie, World War II, Wargame",40,11,2019-09-13
263400,War of the Human Tanks,game,"10 Jan, 2014",0,Yakiniku Banzai,Fruitbat Factory,"Adventure, Indie, Strategy",10.0,,335.0,0,2014,"100,000 .. 200,000",,254,316,"Strategy, Turn-Based Tactics, Anime, War, Robots",469,73,2014-01-10
564050,Bud Spencer & Terence Hill - Slaps And Beans,game,"20 Apr, 2018",0,Trinity Team,Buddy Productions GmbH,"Action, Adventure, Indie",4.35,,1680.0,0,2018,"50,000 .. 100,000",,615,600,"Beat 'em up, Action, Pixel Graphics, Retro, Arcade",1755,154,2018-04-20
924090,Trip in HELL,game,"5 Sep, 2018",0,"Nikita ""Ghost_RUS""",Ghost_RUS Games,"Violent, Gore, Action, Adventure, Indie, Massively Multiplayer",5.25,,,0,2018,"0 .. 20,000",,0,0,"Action, Adventure, Indie, Gore, Violent",9,8,2018-09-05
903760,BinaryBotsVR,game,"22 Nov, 2018",0,cbinfosystems,cbinfosystems,"Adventure, Free To Play",0.0,,,0,2018,"0 .. 20,000",,0,0,"Adventure, Free to Play, VR",9,6,2018-11-22
648020,The Fleet,game,"16 Jun, 2017",0,Choice of Games,Choice of Games,"Adventure, Indie, RPG",5.25,,,0,2017,"0 .. 20,000",,0,0,"Adventure, Indie, RPG, Choose Your Own Adventure, Text-Based",8,6,2017-06-16
758090,Monobeno,game,"26 Jan, 2018",0,Lose,HIKARI FIELD,Adventure,22.0,,493.0,0,2018,"0 .. 20,000",,1772,2545,"Adventure, Anime, Visual Novel, Sexual Content, Nudity",611,32,2018-01-26
