appid,review_count,avg_playtime_hours,median_playtime_hours,recommended_rate,release_year,game_name
541570,41,18.39959349593496,10.916666666666666,0.975609756097561,2016,Sally Face - Episode One
541670,55,33.45181818181818,8.833333333333334,0.8,2016,Disney Infinity 3.0: Gold Edition
542050,80,10.561666666666666,8.508333333333333,0.8125,2018,Forgotton Anne
542260,75,6.89711111111111,5.5,0.7866666666666666,2016,The Herbalist
543050,6,0.9,0.5833333333333333,0.5,2017,ARC Continuum
543240,76,12.630482456140351,11.841666666666665,0.618421052631579,2017,√Letter - Root Letter -
543650,5,0.9366666666666668,0.5666666666666667,0.2,2016,Last Days
544220,9,0.7777777777777777,0.3166666666666666,0.1111111111111111,2016,Damage: Sadistic Butchering of Humanity
545180,52,3.609294871794872,1.1333333333333333,0.8269230769230769,2018,Muffled Warfare - Echolocation Shooter
545850,12,6.919444444444444,6.058333333333334,0.8333333333333334,2016,Shady Brook - A Dark Mystery Text Adventure
545980,75,14.402000000000001,10.0,0.9066666666666666,2017,Voodoo Vince: Remastered
546050,45,26.87851851851852,8.816666666666666,0.9333333333333333,2018,Puyo Puyo™Tetris®
547150,12,1.3416666666666666,0.875,0.5833333333333334,2017,The Morgue Fissure Between Worlds
548760,25,26.465333333333334,0.9666666666666668,0.48,2016,CameraBag Photo
549080,75,32.785333333333334,11.233333333333333,0.8133333333333334,2017,Graviteam Tactics: Tunisia 1943
549860,79,3.2831223628691983,2.283333333333333,0.8860759493670886,2016,One Night Stand
549900,5,1.3299999999999998,0.3,0.8,2016,Leviathan Starblade
550400,29,22.58850574712644,18.2,0.8620689655172413,2017,Delicious - Emily's Hopes and Fears
551060,6,13.355555555555556,5.691666666666667,0.8333333333333334,2017,Creekside Creep Invasion
551100,9,2.296296296296296,0.7166666666666667,0.8888888888888888,2016,Oblivion's Edge
551170,61,689.4590163934427,125.85,0.7377049180327869,2018,Onmyoji
551860,78,39.330555555555556,17.141666666666666,0.6410256410256411,2019,Abandon Ship
552350,14,17.285714285714285,13.358333333333334,0.5,2017,Unhappy Ever After
552520,42,51.66150793650794,37.233333333333334,0.6904761904761905,2018,Far Cry® 5
553020,6,3.422222222222222,2.1916666666666664,0.8333333333333334,2017,Theatre of Doom
553260,65,34.32410256410256,10.2,0.49230769230769234,2017,Realpolitiks
553430,5,0.17333333333333328,0.1666666666666666,0.6,2016,Skill Master VR -- Learn Meditation
554290,45,40.31222222222222,38.41666666666666,0.9111111111111111,2016,Himawari - The Sunflower -
555010,43,6.903875968992248,2.283333333333333,0.627906976744186,2017,M.E.R.C.
555510,70,24.197142857142858,15.708333333333334,0.38571428571428573,2018,MachiaVillain
555890,5,2.5266666666666664,2.8,0.8,2017,Burgers 2
557400,10,76.70333333333333,48.224999999999994,0.8,2017,Midas Gold Plus - Idle Clicker
557520,93,5.641935483870967,4.966666666666667,0.5268817204301075,2018,Torn
557700,13,8.893589743589745,4.5,0.6923076923076923,2016,Empyrean
558990,64,28.47473958333333,20.458333333333332,0.953125,2017,Opus Magnum
559100,79,82.36371308016878,27.966666666666665,0.6329113924050633,2018,Phantom Doctrine
559210,73,12.089954337899542,9.916666666666666,0.9452054794520548,2017,Rakuen
562050,15,2.7633333333333336,2.033333333333333,0.2,2016,Liquid Pinball
562160,16,1.93125,1.2916666666666665,0.5,2017,The Inner Darkness
562640,23,3.2427536231884058,1.5166666666666666,0.8695652173913043,2017,Introvert Quest
564050,67,4.1858208955223875,3.566666666666667,0.8507462686567164,2018,Bud Spencer & Terence Hill - Slaps And Beans
566700,66,3.196969696969697,2.7583333333333333,0.8636363636363636,2017,Eye in the Sky
567130,58,1.2433908045977011,0.7666666666666666,0.6896551724137931,2017,Boogeyman 2
567150,32,8.513020833333334,6.366666666666667,0.65625,2018,Mosaics Galore
567280,70,8.24952380952381,1.5,0.6571428571428571,2016,Cube Runner
567380,69,3.8495169082125607,2.45,0.08695652173913043,2018,Heartbound
568490,14,3.751190476190476,2.8666666666666667,1.0,2017,Frog Hop
570590,12,7.166666666666667,1.125,0.8333333333333334,2017,Solitaire VR
570770,25,37.89933333333333,27.7,0.72,2017,古剑奇谭二(GuJian2)
571520,16,1.7416666666666667,1.1749999999999998,0.5625,2016,Kalaban
572330,52,1.5919871794871794,1.1,0.7115384615384616,2017,The Fan
575760,7,4.626190476190476,4.033333333333333,0.42857142857142855,2017,Project: R.E.B.O.O.T 2
575800,5,15.620000000000001,12.55,0.6,2017,Arizona Rose and the Pharaohs' Riddles
576130,41,7.0703252032520325,2.966666666666667,0.7804878048780488,2017,State of Anarchy: Master of Mayhem
576410,24,3.7201388888888887,1.4166666666666665,0.8333333333333334,2017,Nihilist Simulator
577160,5,5.04,2.066666666666667,0.6,2017,Skyling: Garden Defense
577740,10,5.406666666666666,3.8666666666666667,0.7,2017,Winexy
577850,20,0.6008333333333333,0.4916666666666667,0.9,2017,Tiny Wheels
577940,54,23.050925925925927,11.149999999999999,0.8703703703703703,2017,Killer Instinct
577970,73,27.464383561643835,5.95,0.9041095890410958,2017,Punch Planet - Early Access
579110,79,1.120464135021097,0.8833333333333333,0.7721518987341772,2017,Interkosmos
580720,66,70.25681818181818,21.433333333333334,0.803030303030303,2017,Carrier Deck
580910,6,2.0277777777777772,1.7916666666666665,0.3333333333333333,2017,idleBeer
581200,24,4.80625,0.8333333333333333,0.5833333333333334,2017,Nash Racing
581320,42,86.32857142857144,37.81666666666666,0.7619047619047619,2018,Insurgency: Sandstorm
581370,42,2.049206349206349,1.5833333333333335,0.5238095238095238,2017,Drizzlepath: Glass
583010,62,321.5091397849462,46.641666666666666,0.8387096774193549,2017,VoiceAttack
585910,74,8.475900900900902,3.716666666666667,0.8378378378378378,2017,Wild Guns Reloaded
586080,17,1.9745098039215685,0.6333333333333333,0.35294117647058826,2017,Age of Heroes (VR)
586150,6,0.6138888888888889,0.45833333333333337,0.16666666666666666,2017,Armored Freedom
586230,8,2.99375,2.625,1.0,2017,Kult of Ktulu: Olympic
586620,9,3.022222222222222,1.25,0.3333333333333333,2017,OR
587070,8,1.6541666666666666,0.9333333333333332,0.625,2017,PROTOThYPE _ a love story
587490,15,2.081111111111111,0.9666666666666668,0.6,2017,Dark Throne
587580,87,2.7250957854406126,1.2,0.7816091954022989,2017,Nature Treks VR
589220,10,33.91833333333334,20.775,0.9,2018,UAYEB: The Dry Land
589590,48,7.091319444444444,5.4,0.8958333333333334,2017,Kindergarten
589780,67,5.885323383084577,5.166666666666667,0.8507462686567164,2018,The Red Strings Club
592350,20,55.45583333333334,6.5,0.9,2017,Nvil
595270,13,14.615384615384615,8.766666666666667,0.8461538461538461,2019,Million to One Hero
595360,22,1.2924242424242425,1.0416666666666667,0.5454545454545454,2017,NIGHTSTAR: Rogue Wings
596240,84,2.7857142857142856,1.4749999999999999,0.4642857142857143,2018,Apocryph: an old-school shooter
596280,22,1.6757575757575756,0.5916666666666667,0.13636363636363635,2017,You Are God
597030,65,5.759743589743589,4.15,0.6923076923076923,2018,Aircraft Evolution
598030,8,0.91875,0.5583333333333333,0.125,2018,REVOLT 1917
598500,8,2.2125,0.5583333333333333,0.5,2017,Startide
598620,6,17.13888888888889,15.766666666666664,0.5,2017,Mystery Riddles
598990,26,9.670512820512819,3.2666666666666666,0.7307692307692307,2017,Pizza Connection
602430,79,7.754008438818564,5.733333333333333,0.810126582278481,2017,Yono and the Celestial Elephants
603230,18,1.6898148148148149,0.575,0.8888888888888888,2017,The Wendigo
604000,52,5.581730769230769,4.141666666666667,0.9038461538461539,2017,Like Clay
604040,5,3.2766666666666664,3.1333333333333333,0.6,2017,Legion Tale
606230,72,171.92106481481483,63.54166666666667,0.7083333333333334,2019,Thea 2: The Shattering
606960,77,2.301298701298701,0.9166666666666666,0.4935064935064935,2017,CRIMSON METAL Classic 1999
607040,20,16.798333333333332,10.75,0.7,2017,Grimoire Chronicles
607120,49,6.654081632653061,2.283333333333333,0.7346938775510204,2017,Police Quest: SWAT 2
609150,72,56.52037037037037,25.583333333333332,0.6666666666666666,2017,STAR OCEAN™ - THE LAST HOPE -™ 4K & Full HD Remaster
612120,12,1.1916666666666667,1.225,0.5833333333333334,2017,Darwin's bots: Episode 1
612160,9,2.531481481481481,1.5,1.0,2017,Splinter Zone
612840,7,2.2333333333333334,0.9666666666666668,1.0,2018,Boxplosion
612930,62,133.9287634408602,0.7666666666666666,0.7096774193548387,2019,Fight of Gods
613400,5,1.83,2.2333333333333334,0.8,2017,Sakeretsu
613420,10,1.4533333333333334,0.6333333333333333,0.9,2017,BOROS
613880,64,12.797135416666666,5.441666666666666,0.578125,2018,Zoo Tycoon: Ultimate Animal Collection
614150,6,4.2,1.7666666666666666,1.0,2017,Train Harder
618570,6,0.8805555555555555,0.8500000000000001,0.8333333333333334,2018,Pixel Arcade Legacy
618670,5,0.3933333333333333,0.2666666666666666,0.6,2018,One Bullet left
619150,64,8.373177083333333,4.725,0.75,2019,while True: learn()
619500,74,7.74481981981982,4.491666666666667,0.8243243243243243,2018,cyubeVR
620050,18,133.61944444444444,0.1333333333333333,0.6666666666666666,2017,Start10
620210,73,22.707077625570776,19.95,0.821917808219178,2018,Fatal Twelve
620790,10,4.4399999999999995,3.975,0.9,2017,The Slopes
622460,70,16.291428571428572,13.008333333333333,0.6571428571428571,2018,Steampunk Tower 2
622700,9,12.129629629629628,8.566666666666666,0.5555555555555556,2018,War Heroes: Invasion
623040,5,0.11999999999999997,0.0833333333333333,0.6,2018,Crystal Vibes feat. Ott.
623080,49,4.732993197278911,4.133333333333334,0.9387755102040817,2017,planetarian HD
623180,15,21.173333333333332,6.45,0.7333333333333333,2018,Zombie Solitaire 2 Chapter 3
623880,81,22.20576131687243,3.033333333333333,0.5555555555555556,2017,World of Speed
624330,6,0.5,0.475,0.8333333333333334,2019,Renamer
625560,8,6.027083333333334,5.191666666666666,0.875,2017,The Overdreamer
625820,20,7.759166666666667,4.033333333333333,0.85,2017,Bionic Battle Mutants
628580,14,1.8345238095238094,1.85,0.7142857142857143,2018,Miniballist
628890,65,61.750256410256405,27.466666666666665,0.6153846153846154,2017,NOBUNAGA'S AMBITION: Taishi
